Name,Price,Location,Rating,Sold
LAPTOP TERMURAH ZYREX BUNAKEN N4020 4GB 256SSD+64GB W10 14.0,Rp1.999.000,Jakarta Utara,5.0,27 terjual
SALE!! LAPTOP ASUS X441 INTEL CORE i3 / RAM 8GB 512 SSD / WIN 10,Rp2.550.000,Jakarta Barat,4.6,100+ terjual
Laptop ASUS X441M 8GB 256GB SSD,Rp3.000.000,Jakarta Barat,5.0,3 terjual
LENOVO Thinkpad P15s Intel Core i7 10510U RAM16GB SSD256GB VGA NVIDIA 2GB Windows 11,Rp5.699.000,Jakarta Pusat,4.5,6 terjual
[FREE MOUSE] ASUS Vivobook 14 A1400KA-FHD421 RAM 8GB - Indie Black [Intel Celeron N4500 / Intel UHD Graphics 600 / 8GB / 256GB / 14inch / WIN11 / OHS],Rp4.709.000,Jakarta Timur,5.0,40+ terjual
ASUS VIVOBOOK 14 OLED M1405YA RYZEN 7 7730 RYZEN 5 7430 X GO E1404FA RYZEN 5 7520 RYZEN 3 7320 16GB 1TB W11+OHS 14.0 2.8K - 14X M1403QA,Rp5.689.000,Jakarta Utara,5.0,100+ terjual
Lenovo Yoga Chromebook C630 - i7 8th 16GB 128GB - lenovo yoga C630,Rp2.500.000,Jakarta Pusat,5.0,60+ terjual
ASUS EXPERTBOOK P1 PM1403CDA-S65850WS Ryzen 5 7535HS 8GB 512GB W11 OHS 14FHD 3Y - Garansi Resmi - Asus PM1403CDA AMD Ryzen - ASUS EXPERTBOOK AMD,Rp7.377.000,Jakarta Pusat,5.0,7 terjual
Laptop Axioo Mybook Hype 3 Intel I3 1005G1 16gb 512gb 14.0 Fhd ips,Rp3.050.000,Jakarta Selatan,5.0,40+ terjual
Google Pixelbook 12 i7 7Y75 16GB 512GB / pixel book chomebook OS / chromebook,Rp2.800.000,Jakarta Pusat,5.0,60+ terjual
PROMO LAPTOP Hp EliteBook 840 G5 Core i7-8650U Gen8 RAM 32GB/512GB SSD,Rp2.500.000,Jakarta Barat,4.9,40+ terjual
Laptop HP Athlon Silver 7120U Radeon 8GB RAM 512GB SSD Silver Gold Windows 11 Home 14 Inch AMD Garansi 2 Tahun Official,Rp5.149.000,Jakarta Utara,4.9,250+ terjual
LAPTOP ASUS ZENBOOK 14 OLED TOUCH UX3405CA ULTRA 9 285H ULTRA 5 225H 32GB 1TB W11+OHS 14.0 3K 120HZ EVO,Rp16.449.000,Jakarta Utara,5.0,250+ terjual
